代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
159312,恒生ETF港股通,1.462,1.2493,-17.03,0.098,7.18,2016475.0,293997246.099,1.39,1.49,1.388,1.364,7.48,,4.3,27.79,1054846.0,961629.0,1437590.0,0.49,1012684.0,0.34,424906.0,0.14,-2898860.0,-0.99,1461272.0,0.5,-14306.0,1.462,1.463,30224353.0,44188004,44188004,2025-12-26,2025-12-26 15:34:36+08:00
561330,矿业ETF,1.914,1.9082,-0.3,0.078,4.25,743146.0,141346164.0,1.85,1.922,1.85,1.836,3.92,13.92,4.45,19.55,457035.0,286111.0,-24687515.0,-17.47,-10538826.0,-7.46,-14148689.0,-10.01,13685921.0,9.68,11001593.0,7.78,-55.0,1.915,1.916,533696096.0,1021494328,1021494328,2025-12-26,2025-12-26 16:11:55+08:00
159690,有色矿业ETF招商,1.955,1.9482,-0.35,0.078,4.16,131428.0,25503360.5,1.895,1.961,1.895,1.877,3.52,33.56,3.07,-61.75,84995.0,46433.0,1224881.0,4.8,5205216.0,20.41,-3980335.0,-15.61,-529312.0,-2.08,-695569.0,-2.73,2637.0,1.954,1.955,39163978.0,76565577,76565577,2025-12-26,2025-12-26 15:34:51+08:00
512400,有色金属ETF,1.92,1.9213,0.07,0.073,3.95,7819516.0,1490585874.0,1.873,1.932,1.873,1.847,3.19,7.72,1.52,20.91,4428899.0,3390617.0,126408384.0,8.48,89247168.0,5.99,37161216.0,2.49,-47297031.0,-3.17,-79111358.0,-5.31,10.0,1.919,1.92,10126039040.0,19441994957,19441994957,2025-12-26,2025-12-26 16:11:47+08:00
516650,有色金属ETF基金,1.883,1.8802,-0.15,0.071,3.92,1981910.0,369265036.0,1.827,1.892,1.827,1.812,3.59,12.16,1.55,25.45,1363672.0,618238.0,-571634.0,-0.15,22951986.0,6.22,-23523620.0,-6.37,6798357.0,1.84,-6226724.0,-1.69,-281.0,1.883,1.884,1630464800.0,3070165218,3070165218,2025-12-26,2025-12-26 16:11:36+08:00
159652,有色50ETF,1.666,1.663,-0.18,0.062,3.87,2326348.0,384254933.264,1.621,1.674,1.621,1.604,3.3,9.44,1.67,42.52,1159152.0,1167196.0,45678669.0,11.89,10331621.0,2.69,35347048.0,9.2,-37648110.0,-9.8,-8030560.0,-2.09,-9057.0,1.666,1.667,2464320288.0,4105557600,4105557600,2025-12-26,2025-12-26 15:34:18+08:00
159876,有色ETF华宝,0.991,0.9893,-0.17,0.036,3.77,698312.0,68586029.4,0.963,0.995,0.963,0.955,3.35,8.55,1.12,-8.13,329016.0,369296.0,16381133.0,23.88,17090356.0,24.92,-709223.0,-1.03,-12833240.0,-18.71,-3547892.0,-5.17,-2372.0,0.991,0.992,817177024.0,809822431,809822431,2025-12-26,2025-12-26 15:34:18+08:00
560860,工业有色ETF,1.568,1.5647,-0.21,0.057,3.77,2138894.0,331338004.0,1.525,1.577,1.524,1.511,3.51,4.03,0.98,23.22,1260432.0,878462.0,20067883.0,6.06,7639413.0,2.31,12428470.0,3.75,-12599622.0,-3.8,-7468261.0,-2.25,-5.0,1.568,1.569,5309232896.0,8324877181,8324877181,2025-12-26,2025-12-26 16:11:53+08:00
159881,有色60ETF,1.848,1.846,-0.11,0.067,3.76,111067.0,20386126.9,1.793,1.857,1.793,1.781,3.59,21.26,1.58,-6.05,70907.0,40160.0,1961059.0,9.62,3168759.0,15.54,-1207700.0,-5.92,-1191302.0,-5.84,-769758.0,-3.78,-507.0,1.848,1.85,52249583.0,96557229,96557229,2025-12-26,2025-12-26 15:34:27+08:00
159871,有色金属ETF,1.928,1.9302,0.11,0.068,3.66,721009.0,138132606.4,1.879,1.939,1.879,1.86,3.23,25.72,1.61,22.32,280949.0,440060.0,34813478.0,25.2,26894644.0,19.47,7918834.0,5.73,-24969891.0,-18.08,-9843588.0,-7.13,-1910.0,1.928,1.93,280366256.0,540546142,540546142,2025-12-26,2025-12-26 15:34:18+08:00
159218,卫星产业ETF,1.625,1.6218,-0.2,0.057,3.64,3099594.0,493374195.514,1.568,1.637,1.555,1.568,5.23,40.12,1.39,4.17,1598732.0,1500862.0,-52064052.0,-10.55,-11428385.0,-2.32,-40635667.0,-8.24,28363660.0,5.75,23700392.0,4.8,39554.0,1.624,1.625,772616384.0,1255501624,1255501624,2025-12-26,2025-12-26 15:34:45+08:00
563530,卫星ETF易方达,1.329,1.3271,-0.14,0.046,3.59,1190707.0,155099438.0,1.29,1.341,1.274,1.283,5.22,46.92,1.49,-21.6,623541.0,567166.0,-25407239.0,-16.38,-10677691.0,-6.88,-14729548.0,-9.5,13623112.0,8.78,11784127.0,7.6,-3285.0,1.329,1.33,253748000.0,337231092,337231092,2025-12-26,2025-12-26 16:11:49+08:00
563230,卫星ETF,1.335,1.3336,-0.1,0.045,3.49,1847446.0,242072943.0,1.311,1.348,1.28,1.29,5.27,44.71,1.43,-30.1,880533.0,966913.0,-40151048.0,-16.59,-41272311.0,-17.05,1121263.0,0.46,18770744.0,7.75,21380305.0,8.83,-538.0,1.335,1.336,413237008.0,551671406,551671406,2025-12-26,2025-12-26 16:11:56+08:00
159880,有色ETF基金,1.932,1.9333,0.07,0.065,3.48,308183.0,59268311.148,1.892,1.947,1.891,1.867,3.0,7.22,1.38,-57.27,185778.0,122405.0,-6502049.0,-10.97,-1199214.0,-2.02,-5302835.0,-8.95,3703627.0,6.25,2798423.0,4.72,5188.0,1.931,1.932,427051520.0,825063537,825063537,2025-12-26,2025-12-26 15:34:24+08:00
