序号,代码,名称,纳入日期
1,002625,光启技术,2025-12-15
2,300476,胜宏科技,2025-12-15
3,300251,光线传媒,2025-12-15
4,002384,东山精密,2025-12-15
5,603893,瑞芯微,2025-12-15
6,300803,指南针,2025-12-15
7,601456,国联民生,2025-12-15
8,600522,中天科技,2025-12-15
9,601018,宁波港,2025-12-15
10,300866,安克创新,2025-12-15
11,600930,华电新能,2025-12-15
12,601298,青岛港,2025-09-05
13,002600,领益智造,2025-06-16
14,601077,渝农商行,2025-06-16
15,601825,沪农商行,2025-06-16
16,001391,国货航,2025-06-16
17,302132,中航成飞,2025-06-16
18,301236,软通动力,2025-06-16
19,688047,龙芯中科,2025-06-16
20,601058,赛轮轮胎,2025-03-04
21,688506,百利天恒,2024-12-16
22,601136,首创证券,2024-12-16
23,600066,宇通客车,2024-12-16
24,688472,阿特斯,2024-12-16
25,300394,天孚通信,2024-12-16
26,300502,新易盛,2024-12-16
27,600377,宁沪高速,2024-12-16
28,000630,铜陵有色,2024-12-16
29,601127,赛力斯,2024-12-16
30,002028,思源电气,2024-12-16
31,002463,沪电股份,2024-12-16
32,600482,中国动力,2024-12-16
33,688169,石头科技,2024-12-16
34,000975,山金国际,2024-12-16
35,002422,科伦药业,2024-12-16
36,600160,巨化股份,2024-12-16
37,600027,华电国际,2024-06-17
38,688009,中国通号,2024-06-17
39,688082,盛美上海,2024-06-17
40,603296,华勤技术,2024-06-17
41,600027,华电国际,2024-06-17
42,000807,云铝股份,2024-06-17
43,600161,天坛生物,2024-06-17
44,600415,小商品城,2024-06-17
45,300442,润泽科技,2024-06-17
46,600026,中远海能,2024-06-17
47,300832,新产业,2024-06-17
48,300418,昆仑万维,2024-06-17
49,600489,中金黄金,2023-12-11
50,000999,华润三九,2023-12-11
51,300308,中际旭创,2023-12-11
52,600372,中航机载,2023-12-11
53,600938,中国海油,2023-12-11
54,688256,寒武纪,2023-12-11
55,301269,华大九天,2023-12-11
56,600515,海南机场,2023-12-11
57,688271,联影医疗,2023-12-11
58,600023,浙能电力,2023-12-11
59,601059,信达证券,2023-12-11
60,688041,海光信息,2023-12-11
