序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688260,昀冢科技,35.71,19.99,5.95,149306.0,519903664.0,16.5,35.71,30.8,31.11,29.76,5.84,12.44,-22.04,34.76,4285200000.0,4285200000.0,0.0,0.0,21.75,23.99
2,688028,沃尔德,102.5,19.19,16.5,124846.0,1198959627.0,21.76,103.2,84.49,86.5,86.0,3.08,8.27,162.52,7.89,15472272500.0,15472272500.0,-0.4,-0.41,63.06,58.82
3,688179,阿拉丁,18.85,18.85,2.99,356959.0,642460775.0,20.05,19.03,15.85,16.0,15.86,5.43,10.73,81.41,6.32,6269641498.0,6269641498.0,-0.21,0.0,44.67,51.77
4,688800,瑞可达,94.0,16.63,13.4,207176.0,1870251405.0,16.91,95.0,81.37,82.1,80.6,5.71,10.07,62.23,8.43,19333387490.0,19333387490.0,-0.32,-0.74,31.19,13.25
5,688807,优迅股份,225.0,12.75,25.45,47773.0,1035342566.0,14.07,229.8,201.73,203.22,199.55,2.38,31.77,185.08,10.35,18000000000.0,3383022600.0,-0.1,-0.31,335.54,20.13
6,688170,德龙激光,46.36,11.68,4.85,141024.0,655541467.0,18.12,49.8,42.28,42.28,41.51,3.0,13.64,-213.13,3.94,4791769600.0,4791769600.0,-0.02,0.02,33.45,47.36
7,688167,炬光科技,392.0,11.03,38.95,58858.0,2289144452.0,13.17,408.49,362.0,362.0,353.05,0.85,6.55,11760.98,16.03,35224933408.0,35224933408.0,-0.14,-0.22,206.61,123.91
8,688196,卓越新能,81.56,10.6,7.82,27809.0,220922070.0,12.83,83.2,73.74,75.95,73.74,2.83,2.32,60.98,3.25,10373681240.0,9787200000.0,-0.6,-0.24,49.38,38.47
9,600339,中油工程,4.24,10.13,0.39,1003384.0,420363506.0,7.53,4.24,3.95,3.96,3.85,1.18,1.8,33.92,0.88,23672545277.0,23672545277.0,0.0,0.0,20.11,26.57
10,601015,陕西黑猫,4.9,10.11,0.45,1114656.0,531869289.0,8.09,4.9,4.54,4.54,4.45,0.66,5.46,-10.06,1.77,10008238431.0,10008238431.0,0.0,0.0,16.95,35.36
11,600792,云煤能源,4.79,10.11,0.44,548808.0,254184818.0,8.97,4.79,4.4,4.4,4.35,1.15,4.94,-21.93,1.87,5316534044.0,5316534044.0,0.0,0.0,5.27,23.45
12,603077,和邦生物,2.62,10.08,0.24,3943377.0,1022563760.0,6.3,2.62,2.47,2.47,2.38,2.32,4.47,186.38,1.27,23138627537.0,23138627537.0,0.0,0.0,13.42,15.93
13,600409,三友化工,8.31,10.07,0.76,832155.0,673889937.0,8.74,8.31,7.65,7.66,7.55,1.84,4.03,105.75,1.23,17154743913.0,17154743913.0,0.0,0.0,34.03,34.25
14,688205,德科立,176.0,10.07,16.1,112819.0,1964016358.0,14.1,184.2,161.66,164.0,159.9,1.21,7.13,520.95,12.22,27858217904.0,27858217904.0,0.55,0.57,60.79,28.02
15,600722,金牛化工,9.74,10.06,0.89,576072.0,553090716.0,5.99,9.74,9.21,9.25,8.85,0.5,8.47,137.94,5.37,6626313644.0,6626313644.0,0.0,1.35,49.85,63.97
16,603616,韩建河山,7.44,10.06,0.68,594831.0,434481891.0,9.02,7.44,6.83,6.83,6.76,0.62,15.48,223.7,11.6,2911405920.0,2859139920.0,0.0,0.0,25.89,43.35
17,603601,再升科技,11.84,10.04,1.08,2372006.0,2773183381.0,7.99,11.84,10.98,10.98,10.76,1.58,20.76,124.84,5.1,13525317097.0,13525317097.0,0.08,0.08,153.53,-5.05
18,603861,白云电器,18.21,10.03,1.66,332344.0,587379323.0,9.61,18.21,16.62,16.76,16.55,1.23,6.29,49.69,2.47,9843014061.0,9625559764.0,0.0,0.0,50.25,49.63
19,600470,六国化工,7.13,10.03,0.65,361561.0,250147553.0,8.33,7.13,6.59,6.59,6.48,2.28,6.93,-13.45,2.29,3719008000.0,3719008000.0,0.0,0.0,5.63,19.23
20,600026,中远海能,18.65,10.03,1.7,865326.0,1607830303.0,2.06,18.65,18.3,18.65,16.95,1.28,2.49,28.07,2.25,101926368647.0,64804579767.0,0.0,0.0,46.97,59.67
21,601212,白银有色,10.42,10.03,0.95,2797122.0,2890912629.0,4.54,10.42,9.99,10.08,9.47,0.99,3.78,-269.31,5.0,77157750405.0,77157750405.0,0.0,0.0,111.36,78.12
22,600714,金瑞矿业,16.8,10.02,1.53,91074.0,150900733.0,8.38,16.8,15.52,15.89,15.27,0.79,3.16,79.49,6.3,4841361386.0,4841361386.0,0.0,0.0,27.47,37.03
23,603042,华脉科技,20.1,10.02,1.83,169186.0,331616518.0,8.81,20.1,18.49,18.49,18.27,0.94,10.54,-66.54,3.74,3227855784.0,3227855784.0,0.0,0.0,24.54,18.44
24,603466,风语筑,12.85,10.02,1.17,1961514.0,2429729924.0,9.42,12.85,11.75,12.5,11.68,1.81,32.98,108.77,3.63,7643000344.0,7643000344.0,0.0,0.0,28.37,37.29
25,600345,长江通信,43.62,10.01,3.97,153899.0,655692671.0,5.95,43.62,41.26,41.32,39.65,0.49,7.27,648.19,4.08,14377681198.0,9228216535.0,0.0,0.0,80.32,25.85
26,601872,招商轮船,13.41,10.01,1.22,1548322.0,2069005993.0,2.38,13.41,13.12,13.41,12.19,1.37,1.92,24.61,2.66,108279561312.0,108279561312.0,0.0,0.0,49.5,49.33
27,600550,保变电气,16.7,10.01,1.52,1203694.0,1965085638.0,8.43,16.7,15.42,15.48,15.18,1.2,6.54,158.05,39.28,30753525616.0,30753525616.0,0.0,0.0,65.02,58.29
28,601890,亚星锚链,13.63,10.01,1.24,2223806.0,2915314363.0,10.9,13.63,12.28,12.5,12.39,4.63,23.18,46.42,3.53,13076622000.0,13076622000.0,0.0,0.0,28.71,32.46
29,600397,江钨装备,17.04,10.01,1.55,581966.0,980869047.0,6.2,17.04,16.08,16.18,15.49,0.78,5.88,-41.24,108.5,16868916389.0,16868916389.0,0.0,0.0,154.71,124.21
30,605033,美邦股份,31.54,10.01,2.87,29713.0,93714802.0,0.0,31.54,31.54,31.54,28.67,0.89,2.2,88.36,3.72,4264208000.0,4264208000.0,0.0,0.0,56.6,57.07
31,600096,云天化,39.36,10.01,3.58,830309.0,3209420050.0,6.51,39.36,37.03,37.06,35.78,2.52,4.55,11.38,2.96,71752915172.0,71752915172.0,0.0,0.0,21.48,17.81
32,600141,兴发集团,41.55,10.01,3.78,450821.0,1827489403.0,6.94,41.55,38.93,39.2,37.77,2.42,4.04,26.4,1.94,46404057684.0,46404057684.0,0.0,0.0,26.29,20.16
33,603619,中曼石油,36.61,10.01,3.33,113525.0,411696638.0,4.03,36.61,35.27,35.27,33.28,0.35,2.46,28.0,3.89,16926211057.0,16926211057.0,0.0,0.0,44.02,58.83
34,603959,百利科技,6.71,10.0,0.61,158736.0,105738844.0,7.21,6.71,6.27,6.27,6.1,0.25,3.24,-21.38,138.5,3289906236.0,3289906236.0,0.0,0.0,-7.58,16.9
35,603400,华之杰,67.07,10.0,6.1,60176.0,393846263.0,10.4,67.07,60.73,61.16,60.97,5.52,30.09,45.48,5.55,6707000000.0,1341400000.0,0.0,0.0,20.13,29.5
36,601808,中海油服,17.38,10.0,1.58,390621.0,668560604.0,7.59,17.38,16.18,16.28,15.8,1.99,1.32,19.38,1.8,82930268960.0,51452933840.0,0.0,0.0,19.86,23.79
37,605289,罗曼股份,98.98,10.0,9.0,105598.0,1012471755.0,9.98,98.98,90.0,94.04,89.98,1.67,9.75,383.76,8.43,10789562350.0,10723245750.0,0.0,0.0,60.42,50.52
38,601869,长飞光纤,234.73,10.0,21.34,119239.0,2735330606.0,6.42,234.73,221.03,228.0,213.39,0.67,2.93,310.32,16.43,194334166001.0,95379792445.0,0.0,0.0,199.36,101.73
39,603139,康惠股份,26.39,10.0,2.4,57711.0,147237438.0,10.63,26.39,23.84,24.0,23.99,2.66,5.78,-14.92,3.64,2635833200.0,2635833200.0,0.0,0.0,18.55,28.92
