序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301449,C天溯,114.65,27.23,24.54,102637.0,1078573642.6,35.32,118.0,86.17,88.1,90.11,1.05,73.77,60.31,6.57,7477173993.0,1595155374.0,2.09,1.93,211.55,211.55
2,300291,百纳千成,6.4,20.08,1.07,79039.0,50584800.0,0.0,6.4,6.4,6.4,5.33,0.47,0.85,-66.94,1.97,6028093766.0,5956855322.0,0.0,0.0,-6.98,27.24
3,301181,标榜股份,46.37,20.01,7.73,89760.0,396474239.93,19.51,46.37,38.83,38.99,38.64,2.47,9.95,44.42,3.74,5357634918.0,4181703311.0,0.0,0.0,51.04,128.54
4,301246,宏源药业,26.88,20.0,4.48,476789.0,1216033424.21,12.81,26.88,24.01,24.81,22.4,1.72,29.79,-7329.97,2.48,10752182784.0,4301949120.0,0.0,0.0,88.9,99.11
5,301117,佳缘科技,59.21,20.0,9.87,168739.0,981459193.42,10.36,59.21,54.1,54.31,49.34,0.99,21.24,-599.67,5.86,7648073990.0,4704227809.0,0.0,0.0,60.55,170.86
6,301292,海科新源,72.0,20.0,12.0,414127.0,2752124366.69,20.0,72.0,60.0,63.92,60.0,2.33,48.68,-93.98,5.93,16041296016.0,6124942584.0,0.0,0.0,300.67,450.46
7,300819,聚杰微纤,34.57,19.99,5.76,143911.0,476330432.5,19.99,34.57,28.81,28.9,28.81,2.8,10.68,73.7,5.93,5158016850.0,4658730983.0,0.0,0.0,44.16,174.37
8,300846,首都在线,21.7,13.08,2.51,644319.0,1321121168.98,17.77,22.5,19.09,19.19,19.19,3.58,16.42,-82.33,12.75,10912843547.0,8515733908.0,-0.09,-0.18,-15.27,56.0
9,301505,苏州规划,23.33,12.6,2.61,114084.0,258603231.45,17.08,23.96,20.42,20.71,20.72,9.63,15.23,229.97,2.78,2668951790.0,1747926247.0,-0.13,0.04,-0.64,24.16
10,300900,广联航空,35.07,12.37,3.86,1115419.0,3995093568.46,10.99,37.45,34.02,34.73,31.21,1.94,49.34,449.48,8.08,10421091497.0,7928447409.0,0.0,-0.28,89.47,59.41
11,300774,倍杰特,20.17,11.75,2.12,333947.0,647326668.42,15.4,20.58,17.8,18.23,18.05,1.83,17.14,58.39,5.47,8244763022.0,3930738697.0,0.85,0.6,76.77,135.08
12,301306,西测测试,122.6,10.97,12.12,188561.0,2299817497.4,17.64,131.99,112.5,112.5,110.48,1.21,32.34,-73.22,11.3,10347440000.0,7147580000.0,0.28,0.49,132.73,228.07
13,300139,晓程科技,34.8,10.83,3.4,536178.0,1806423718.56,11.69,35.4,31.73,32.0,31.4,1.42,22.95,93.12,8.61,9535200000.0,8131341030.0,0.29,0.14,30.29,138.52
14,301232,飞沃科技,139.0,10.32,13.0,96544.0,1282714705.19,12.29,139.0,123.51,126.0,126.0,1.25,21.61,170.37,7.4,10447566233.0,6208749835.0,0.3,1.06,265.79,462.75
15,300816,艾可蓝,48.8,10.23,4.53,59613.0,278068511.79,12.18,48.8,43.41,44.14,44.27,2.65,10.52,39.52,4.3,3904000000.0,2765426265.0,0.29,0.6,29.61,91.3
16,002506,协鑫集成,2.93,10.15,0.27,4475744.0,1284197312.62,8.27,2.93,2.71,2.71,2.66,2.89,7.66,-23.16,9.63,17141427131.0,17124183642.0,0.0,0.0,12.69,9.74
17,002347,泰尔股份,9.3,10.06,0.85,947611.0,868241145.16,7.34,9.3,8.68,9.29,8.45,2.28,19.21,-65.57,4.1,4693731167.0,4588460979.0,0.0,0.0,9.15,38.39
18,000523,红棉股份,4.05,10.05,0.37,547683.0,217027208.85,8.7,4.05,3.73,3.75,3.68,0.44,4.13,85.39,3.93,7433647267.0,5366898624.0,0.0,0.0,28.16,32.79
19,002591,恒大高新,7.45,10.04,0.68,124452.0,91031390.0,10.78,7.45,6.72,6.77,6.77,1.42,5.57,-728.41,3.4,2236486156.0,1665167842.0,0.0,0.0,30.24,51.42
20,002136,安 纳 达,13.37,10.04,1.22,270575.0,351496396.35,7.24,13.37,12.49,12.54,12.15,2.22,12.62,-46.5,2.55,2874817400.0,2867273511.0,0.0,0.0,26.73,37.13
21,002361,神剑股份,13.17,10.03,1.2,126846.0,167056129.32,0.0,13.17,13.17,13.17,11.97,0.05,1.57,309.82,5.66,12525130542.0,10656149699.0,0.0,0.0,111.74,143.89
22,002081,金 螳 螂,3.62,10.03,0.33,1324009.0,473777954.66,9.42,3.62,3.31,3.31,3.29,5.55,5.01,18.89,0.7,9612271754.0,9573469698.0,0.0,0.0,3.72,4.32
23,002471,中超控股,6.26,10.02,0.57,4276660.0,2607033557.9,9.49,6.26,5.72,5.86,5.69,1.35,31.85,-257.24,4.91,8568437600.0,8404511756.0,0.0,0.0,15.5,129.3
24,000777,中核科技,25.81,10.02,2.35,800054.0,2018748340.0,12.57,25.81,22.86,23.45,23.46,3.95,20.87,66.53,4.33,9896008075.0,9895833445.0,0.0,0.0,31.28,44.35
25,002931,锋龙股份,23.82,10.02,2.17,1356.0,3230373.12,0.0,23.82,23.82,23.82,21.65,0.02,0.07,181.41,5.48,5204809490.0,4793859037.0,0.0,0.0,56.61,46.95
26,002805,丰元股份,18.88,10.02,1.72,120235.0,227004586.24,0.0,18.88,18.88,18.88,17.16,0.82,4.32,-10.59,5.35,5287580151.0,5258884250.0,0.0,0.0,36.91,58.66
27,002903,宇环数控,24.61,10.01,2.24,79108.0,192144024.0,6.35,24.61,23.19,23.99,22.37,1.78,7.42,944.89,4.75,3856337780.0,2624487897.0,0.0,0.0,5.26,52.2
28,002792,通宇通讯,42.0,10.01,3.82,1139305.0,4554365475.31,13.07,42.0,37.01,39.53,38.18,0.84,34.17,653.67,7.9,22028434260.0,14002235436.0,0.0,0.0,150.15,182.64
29,002163,海南发展,22.75,10.01,2.07,2279896.0,5062930671.97,9.38,22.75,20.81,20.81,20.68,1.8,28.37,-39.52,27.29,19222791474.0,18280736906.0,0.0,0.0,125.92,143.32
30,000688,国城矿业,29.13,10.01,2.65,420408.0,1198396303.5,6.61,29.13,27.38,27.78,26.48,1.26,3.55,57.48,8.45,34521022276.0,34520896434.0,0.03,0.0,102.86,145.0
31,001331,胜通能源,42.1,10.01,3.83,260859.0,1097176580.14,3.19,42.1,40.88,42.1,38.27,8.49,15.54,200.74,7.85,11882304000.0,7067566086.0,0.0,0.0,223.1,435.62
32,002763,汇洁股份,8.68,10.01,0.79,53067.0,46062277.52,0.0,8.68,8.68,8.68,7.89,0.99,1.75,21.87,1.91,3558140320.0,2635241056.0,0.0,0.0,27.09,40.23
33,002756,永兴材料,55.51,10.01,5.05,223332.0,1217280502.52,6.96,55.51,52.0,52.0,50.46,1.24,5.75,42.22,2.39,29925526485.0,21578437882.0,0.0,0.0,58.6,50.27
34,002268,电科网安,20.33,10.01,1.85,855688.0,1708586544.01,10.12,20.33,18.46,18.48,18.48,5.02,10.12,-60.45,3.19,17191781567.0,17184906470.0,0.0,0.0,16.3,25.57
35,002759,天际股份,49.5,10.0,4.5,1248694.0,6145228858.09,3.67,49.5,47.85,49.5,45.0,1.07,24.93,-183.44,8.02,24818438948.0,24796633604.0,0.0,0.0,234.01,464.42
36,002326,永太科技,27.06,10.0,2.46,1500896.0,3948585721.83,8.29,27.06,25.02,25.03,24.6,1.79,18.57,576.75,9.19,25033953830.0,21868783677.0,0.0,0.0,58.62,202.68
37,000036,华联控股,7.81,10.0,0.71,520684.0,406654219.62,0.0,7.81,7.81,7.81,7.1,0.33,3.72,230.44,2.16,10963824242.0,10942989177.0,0.0,0.0,58.74,91.42
38,002571,德力股份,10.56,10.0,0.96,293317.0,298378995.37,10.0,10.56,9.6,9.69,9.6,0.97,9.83,-34.57,4.24,4138999392.0,3150113345.0,0.0,0.0,42.51,157.56
39,002919,名臣健康,23.64,10.0,2.15,150509.0,343564569.62,10.89,23.64,21.3,21.45,21.49,3.85,5.69,111.06,7.67,6300676200.0,6250136339.0,0.0,0.0,55.53,44.15
40,001309,德明利,239.0,10.0,21.73,263128.0,6187180274.93,11.96,239.0,213.01,213.01,217.27,1.51,16.36,-1502.02,22.13,54225819008.0,38449347987.0,0.0,0.0,34.82,285.05
41,002865,钧达股份,54.87,10.0,4.99,254211.0,1368647310.86,8.4,54.87,50.68,50.7,49.88,0.65,11.31,-28.75,3.45,16054086933.0,12338386007.0,0.0,0.0,30.3,7.38
42,002769,普路通,12.32,10.0,1.12,624342.0,750461292.57,11.16,12.32,11.07,11.16,11.2,1.4,16.74,95.84,3.89,4599278425.0,4595486034.0,0.0,0.0,43.26,76.76
43,002009,天奇股份,19.36,10.0,1.76,185723.0,359560676.64,0.0,19.36,19.36,19.36,17.6,1.53,5.24,86.91,3.89,7787234888.0,6855812936.0,0.0,0.0,13.22,27.2
44,002969,嘉美包装,9.79,10.0,0.89,25885.0,25341346.47,0.0,9.79,9.79,9.79,8.9,0.88,0.27,179.15,4.03,9353874551.0,9293844738.0,0.0,0.0,186.26,217.86
45,000547,航天发展,28.16,10.0,2.56,3007902.0,8424016376.21,3.63,28.16,27.23,27.59,25.6,0.63,18.93,-69.06,9.58,45012866455.0,44749649106.0,0.0,0.0,271.5,285.23
46,001326,联域股份,46.35,9.99,4.21,20875.0,95864842.68,6.53,46.35,43.6,44.16,42.14,2.93,8.66,130.27,2.8,3392820000.0,1117189299.0,0.0,0.0,-0.39,38.36
47,000505,京粮控股,8.92,9.99,0.81,462575.0,400389051.71,10.73,8.92,8.05,8.1,8.11,0.56,7.31,-94.43,2.11,6484396239.0,5640832597.0,0.0,0.0,39.38,45.28
48,002703,浙江世宝,23.34,9.99,2.12,1412757.0,3143564316.56,10.84,23.34,21.04,21.04,21.22,0.99,24.11,96.21,9.4,19200239843.0,13678362047.0,0.0,1.17,66.83,106.37
49,002752,昇兴股份,8.81,9.99,0.8,1230873.0,1037778672.5,12.11,8.81,7.84,8.01,8.01,1.5,12.6,29.81,2.49,8606651703.0,8605330203.0,0.0,0.0,63.75,40.96
50,002151,北斗星通,42.17,9.99,3.83,1147224.0,4737074486.91,9.99,42.17,38.34,39.0,38.34,1.89,25.91,948.32,4.44,22894553201.0,18673671411.0,0.0,0.0,40.15,58.89
51,002363,隆基机械,11.34,9.99,1.03,1086391.0,1218617029.49,7.86,11.34,10.53,10.8,10.31,5.89,26.13,85.52,2.22,4727592713.0,4714697614.0,0.0,0.0,47.27,74.19
52,000973,佛塑科技,14.22,9.98,1.29,911693.0,1274816337.59,5.34,14.22,13.53,13.53,12.93,1.4,9.42,122.95,4.73,13756757492.0,13756757492.0,0.0,0.0,95.06,140.61
53,002853,皮阿诺,22.37,9.98,2.03,198813.0,426076468.92,12.44,22.37,19.84,20.18,20.34,0.77,15.45,-407.81,4.39,4091829757.0,2879126712.0,0.0,0.0,83.66,103.92
54,001376,百通能源,18.18,9.98,1.65,303945.0,533432209.45,9.5,18.18,16.61,16.61,16.53,1.12,14.22,47.48,7.16,8379162000.0,3886026140.0,0.0,0.0,43.04,25.64
55,002201,九鼎新材,12.45,9.98,1.13,436959.0,544014029.7,0.0,12.45,12.45,12.45,11.32,2.19,7.26,80.56,6.97,8112871200.0,7495191579.0,0.0,0.0,62.75,140.35
56,002856,美芝股份,13.01,9.97,1.18,92516.0,116824769.81,8.79,13.01,11.97,12.01,11.83,1.66,7.47,-29.83,21.18,1760419632.0,1611996803.0,0.0,0.0,28.68,41.11
57,000659,珠海中富,3.53,9.97,0.32,714785.0,245663477.13,10.59,3.53,3.19,3.22,3.21,2.31,5.56,-63.48,26.7,4538529896.0,4538529896.0,0.0,0.0,25.62,25.18
58,000863,三湘印象,5.63,9.96,0.51,654783.0,353936476.33,11.33,5.63,5.05,5.11,5.12,0.62,5.63,676.15,1.48,6647338523.0,6551154803.0,0.0,0.0,55.1,45.1
59,000510,新金路,11.92,9.96,1.08,657086.0,745663639.28,10.98,11.92,10.73,11.01,10.84,0.82,10.83,-73.86,6.26,7730639581.0,7231444619.0,0.0,0.0,118.32,231.11
60,002652,扬子新材,4.42,9.95,0.4,560855.0,244858244.52,6.97,4.42,4.14,4.2,4.02,2.38,10.95,-108.77,9.03,2263322880.0,2263322880.0,0.0,0.0,25.57,56.74
61,002691,冀凯股份,8.95,9.95,0.81,134701.0,118456514.5,10.32,8.95,8.11,8.13,8.14,2.07,4.01,-49.78,3.58,3043000000.0,3007023730.0,0.0,0.0,12.02,76.88
62,301319,唯特偶,52.23,9.59,4.57,100512.0,506476935.23,9.44,52.29,47.79,48.18,47.66,2.29,10.76,70.05,5.54,6494932015.0,4880427817.0,0.15,0.35,11.1,167.02
63,002812,恩捷股份,56.71,9.1,4.73,645131.0,3607517835.37,7.89,57.18,53.08,53.1,51.98,1.66,7.84,-483.95,2.21,55701703969.0,46651587637.0,0.0,0.02,24.94,77.27
64,300437,清水源,18.26,9.08,1.52,564047.0,1015749064.9,14.22,19.26,16.88,17.0,16.74,1.95,32.08,-94.97,3.31,4609242355.0,3210301501.0,0.05,0.88,112.57,103.34
65,300568,星源材质,16.2,8.87,1.32,1670628.0,2647484201.19,10.28,16.5,14.97,15.19,14.88,2.84,13.69,143.17,2.21,21839611052.0,19765685642.0,0.0,0.0,17.14,67.53
66,300155,安居宝,6.15,8.85,0.5,343993.0,205469209.12,10.09,6.22,5.65,5.73,5.65,1.67,10.4,-78.04,2.82,3451550626.0,2033969672.0,-0.16,0.0,26.8,28.39
67,300551,古鳌科技,17.23,8.64,1.37,489543.0,847513704.3,16.65,18.5,15.86,16.0,15.86,1.61,14.44,-26.75,13.39,5859282716.0,5842225343.0,-0.06,0.64,27.72,72.82
68,300699,光威复材,34.87,8.43,2.71,1016400.0,3535415703.8,10.98,36.66,33.13,33.33,32.16,3.95,12.37,52.41,5.25,28989244240.0,28643719119.0,0.14,0.09,15.43,2.11
69,002407,多氟多,36.95,8.29,2.83,2662762.0,9592575553.39,8.7,37.53,34.56,35.11,34.12,1.76,24.64,422.65,5.32,43986483425.0,39926353021.0,-0.03,0.08,121.66,212.87
70,001203,大中矿业,33.17,8.12,2.49,373830.0,1226797011.45,7.11,33.68,31.5,32.62,30.68,0.78,2.84,64.22,7.27,50852278029.0,43630039856.0,0.09,-0.63,182.3,292.08
71,002738,中矿资源,80.22,8.04,5.97,305387.0,2403924241.63,5.49,80.55,76.47,76.76,74.25,1.04,4.29,212.56,4.82,57878078373.0,57039764612.0,0.01,-0.02,84.46,129.2
72,301017,漱玉平民,18.98,8.03,1.41,493053.0,921599115.32,12.58,19.81,17.6,17.7,17.57,1.1,20.26,52.87,3.87,7693745061.0,4618985061.0,-0.11,0.05,71.76,58.83
73,300390,天华新能,57.03,8.01,4.23,713461.0,4068608123.09,11.16,60.19,54.3,59.0,52.8,1.26,10.61,1081.17,4.34,47377717440.0,38354760587.0,0.16,-0.05,146.03,154.03
74,301056,森赫股份,15.08,7.87,1.1,109720.0,160298645.0,9.3,15.1,13.8,13.92,13.98,1.02,6.23,54.43,5.25,4023142938.0,2654017116.0,0.4,0.27,23.1,98.94
